#dim = 2
#xspins = 50
#yspins = 50
#zspins = 50
#J = 1
#B = 0
#beta = 0.3
#betaMax = 0.5
#steps = 400
#running = 6000000

#beta Magnetisierung FlipRate
0.3 0.000299351 0.522666
0.300501 0.00367343 0.52169
0.301003 0.00159503 0.520435
0.301504 0.000384036 0.520265
0.302005 0.00146053 0.519043
0.302506 -0.000841453 0.518133
0.303008 -0.00124566 0.51746
0.303509 -0.00412505 0.516298
0.30401 0.00411452 0.515449
0.304511 0.00190212 0.514301
0.305013 0.00149875 0.51388
0.305514 0.00110941 0.51312
0.306015 -0.000638473 0.512146
0.306516 0.000272402 0.511371
0.307018 0.000147073 0.509656
0.307519 -0.00116656 0.508263
0.30802 -0.00102328 0.507627
0.308521 -0.00528529 0.506796
0.309023 0.000445607 0.506487
0.309524 -0.00319997 0.504998
0.310025 -0.000654248 0.504363
0.310526 0.001375 0.5034
0.311028 -0.00186808 0.502555
0.311529 -0.00712648 0.501215
0.31203 0.00237891 0.50156
0.312531 -0.00165692 0.499621
0.313033 -0.00391061 0.499215
0.313534 0.000781637 0.497971
0.314035 0.00561755 0.495972
0.314536 -0.00237028 0.496818
0.315038 -0.00651273 0.495259
0.315539 -0.008171 0.494807
0.31604 0.000272788 0.493548
0.316541 -0.00407305 0.491351
0.317043 -0.00127798 0.492518
0.317544 -1.8894e-05 0.491066
0.318045 0.00187601 0.489756
0.318546 -0.00395592 0.488987
0.319048 -0.00269035 0.487682
0.319549 0.00408039 0.487794
0.32005 -0.00224696 0.486842
0.320551 -0.000715781 0.485776
0.321053 0.00608956 0.484454
0.321554 -0.00227496 0.483783
0.322055 -0.00439607 0.482751
0.322556 -0.00446778 0.481542
0.323058 0.00169921 0.480227
0.323559 -0.0113539 0.479471
0.32406 -0.00152821 0.478847
0.324561 0.00171732 0.4774
0.325063 0.0133469 0.478222
0.325564 -0.00454174 0.47619
0.326065 -0.00690899 0.475538
0.326566 0.00277043 0.47421
0.327068 -0.0117196 0.473714
0.327569 0.00325655 0.471124
0.32807 0.00615721 0.470612
0.328571 0.010809 0.469701
0.329073 0.00783786 0.469306
0.329574 0.0127379 0.469349
0.330075 0.00517307 0.466551
0.330576 -0.00102672 0.467708
0.331078 -0.00750054 0.46629
0.331579 0.000939407 0.463684
0.33208 0.000375394 0.464074
0.332581 0.00578549 0.463261
0.333083 -0.0189317 0.462434
0.333584 0.00202014 0.46001
0.334085 -0.00746287 0.460524
0.334586 -0.00893653 0.459395
0.335088 0.00312639 0.458865
0.335589 -0.0115934 0.457654
0.33609 0.00516481 0.457168
0.336591 -0.00439562 0.455441
0.337093 0.00823183 0.453304
0.337594 -0.00380257 0.453694
0.338095 -0.0016585 0.451649
0.338596 0.0130988 0.452097
0.339098 0.016166 0.451398
0.339599 -0.00225298 0.448573
0.3401 0.00592499 0.448412
0.340602 0.00979464 0.447591
0.341103 -0.0051614 0.447057
0.341604 0.00760123 0.445909
0.342105 -0.0022827 0.444886
0.342607 0.013035 0.444175
0.343108 -0.00710041 0.442915
0.343609 -0.0120711 0.440766
0.34411 0.0101149 0.439895
0.344612 0.00126286 0.439102
0.345113 0.00720474 0.437696
0.345614 -0.000104025 0.437332
0.346115 -0.00773839 0.436833
0.346617 -0.0155911 0.436288
0.347118 -0.00224108 0.435032
0.347619 -0.0105121 0.43334
0.34812 -0.00758556 0.432275
0.348622 0.0147465 0.432429
0.349123 -0.000206606 0.430438
0.349624 0.0186065 0.431167
0.350125 -0.0113569 0.427756
0.350627 0.0067778 0.429351
0.351128 0.00435627 0.426225
0.351629 -0.0110011 0.425519
0.35213 -0.00191299 0.425864
0.352632 0.00203035 0.425232
0.353133 0.000611734 0.423524
0.353634 0.00553758 0.422064
0.354135 0.00489035 0.420823
0.354637 0.0153385 0.420105
0.355138 -0.00822964 0.417668
0.355639 0.00328411 0.416516
0.35614 0.00282465 0.417012
0.356642 0.0254703 0.415546
0.357143 -0.0215424 0.414923
0.357644 0.0205504 0.412448
0.358145 -0.00856651 0.412571
0.358647 -0.022099 0.411484
0.359148 -0.0248418 0.411076
0.359649 0.0240304 0.410412
0.36015 0.0309982 0.411667
0.360652 -0.0125501 0.408154
0.361153 0.0238729 0.407675
0.361654 -0.00550273 0.406801
0.362155 0.0153788 0.40522
0.362657 -0.0108239 0.404203
0.363158 0.00757684 0.404176
0.363659 -0.0307237 0.401744
0.36416 -0.0145046 0.400514
0.364662 -0.00658063 0.399925
0.365163 0.00365763 0.398495
0.365664 0.0107945 0.396116
0.366165 0.0117177 0.396307
0.366667 0.0119186 0.396462
0.367168 -0.000717707 0.39629
0.367669 0.00294709 0.394153
0.36817 0.0102967 0.392138
0.368672 0.00169427 0.391399
0.369173 0.000771829 0.389052
0.369674 0.0303884 0.388935
0.370175 3.42004e-05 0.388802
0.370677 -0.00902677 0.387515
0.371178 -0.0184096 0.384077
0.371679 -0.0137212 0.384194
0.37218 -0.0167107 0.385843
0.372682 0.00973922 0.382935
0.373183 0.0106585 0.381518
0.373684 -0.0159114 0.38046
0.374185 0.0256748 0.379943
0.374687 0.0213657 0.379702
0.375188 0.00746519 0.377497
0.375689 0.00434524 0.378193
0.37619 -0.0270239 0.375724
0.376692 -0.00448404 0.374776
0.377193 -0.00633022 0.374312
0.377694 -0.0458955 0.373054
0.378195 -0.00896458 0.372507
0.378697 -0.00573385 0.370775
0.379198 -0.031886 0.369366
0.379699 0.0383621 0.368768
0.380201 -0.0362998 0.366836
0.380702 -0.0294994 0.367076
0.381203 0.00859648 0.367666
0.381704 -0.0172938 0.365688
0.382206 -0.0190542 0.361771
0.382707 0.00565338 0.362595
0.383208 -0.00480295 0.363492
0.383709 0.0128469 0.36022
0.384211 -0.00134359 0.359324
0.384712 -0.0195991 0.356847
0.385213 0.0220149 0.356631
0.385714 -0.00570098 0.356042
0.386216 0.0166047 0.356121
0.386717 -0.00543058 0.352452
0.387218 0.00786146 0.351633
0.387719 -0.00485376 0.351922
0.388221 0.0233049 0.348768
0.388722 -0.0341639 0.348752
0.389223 -0.00624582 0.347802
0.389724 -0.0128479 0.346579
0.390226 -0.0427182 0.347717
0.390727 0.026787 0.345609
0.391228 -0.0336175 0.345656
0.391729 -0.00924604 0.344056
0.392231 0.0536641 0.342157
0.392732 0.0141587 0.341581
0.393233 0.0257927 0.337795
0.393734 0.0103163 0.339759
0.394236 0.0318682 0.338127
0.394737 -0.031228 0.335963
0.395238 -0.00328096 0.333993
0.395739 0.0307702 0.334663
0.396241 -0.00866381 0.333441
0.396742 -0.0400739 0.330443
0.397243 0.00320113 0.330767
0.397744 -0.024599 0.330831
0.398246 -0.0378538 0.32813
0.398747 0.0139359 0.32438
0.399248 0.0904796 0.323408
0.399749 -0.0268662 0.324221
0.400251 -0.0163358 0.322044
0.400752 -0.0294414 0.3209
0.401253 0.0442276 0.322254
0.401754 -0.0612912 0.319948
0.402256 -0.0117627 0.317084
0.402757 -0.0126138 0.31786
0.403258 0.00811013 0.3157
0.403759 -0.0571883 0.312455
0.404261 0.0165449 0.314694
0.404762 0.0331847 0.316488
0.405263 0.114456 0.312072
0.405764 0.10424 0.307972
0.406266 0.012284 0.311307
0.406767 0.0745068 0.307954
0.407268 0.072825 0.30651
0.407769 0.0225866 0.304002
0.408271 -0.0125034 0.305011
0.408772 0.0184138 0.30243
0.409273 0.0487518 0.303123
0.409774 0.0810536 0.300867
0.410276 0.00478188 0.297504
0.410777 0.0272998 0.299485
0.411278 -0.0904622 0.297254
0.411779 -0.0648177 0.294502
0.412281 -0.151524 0.293918
0.412782 0.0559614 0.291572
0.413283 0.0722039 0.290301
0.413784 0.0373902 0.292052
0.414286 0.207495 0.289148
0.414787 -0.0296998 0.292914
0.415288 0.0255127 0.288484
0.415789 -0.275326 0.278981
0.416291 -0.0335239 0.281456
0.416792 0.198736 0.277159
0.417293 -0.10018 0.281722
0.417794 -0.0380087 0.280707
0.418296 -0.316836 0.270558
0.418797 -0.031285 0.277725
0.419298 0.0662228 0.273232
0.419799 0.0956029 0.274961
0.420301 0.0475582 0.275103
0.420802 -0.28604 0.264195
0.421303 -0.163558 0.267926
0.421805 -0.316113 0.264381
0.422306 -0.0357604 0.26934
0.422807 0.0458307 0.267218
0.423308 0.136856 0.250581
0.42381 -0.0892332 0.266938
0.424311 -0.000110788 0.255984
0.424812 0.311898 0.258996
0.425313 0.364908 0.247763
0.425815 -0.141818 0.2552
0.426316 -0.344538 0.251084
0.426817 -0.230781 0.25293
0.427318 0.178129 0.252473
0.42782 -0.129762 0.256129
0.428321 0.472736 0.237141
0.428822 -0.0411104 0.250553
0.429323 -0.0182985 0.253002
0.429825 0.290747 0.24085
0.430326 0.18172 0.25213
0.430827 0.00761769 0.236447
0.431328 0.0727816 0.242944
0.43183 0.36875 0.237738
0.432331 -0.0935012 0.240713
0.432832 0.300939 0.233866
0.433333 0.487413 0.225764
0.433835 0.340735 0.228827
0.434336 0.155283 0.227829
0.434837 -0.578574 0.21572
0.435338 0.559632 0.215373
0.43584 0.366545 0.225592
0.436341 0.247468 0.223549
0.436842 -0.29182 0.221902
0.437343 0.467597 0.222133
0.437845 -0.236461 0.227219
0.438346 -0.639711 0.197321
0.438847 -0.02942 0.214578
0.439348 -0.297084 0.218831
0.43985 -0.251486 0.21182
0.440351 -0.0665848 0.232805
0.440852 -0.657212 0.188613
0.441353 0.414423 0.211087
0.441855 -0.556607 0.198701
0.442356 0.229781 0.215594
0.442857 -0.667786 0.187789
0.443358 0.471892 0.200723
0.44386 -0.540447 0.195523
0.444361 0.557255 0.191357
0.444862 -0.501927 0.196647
0.445363 0.68904 0.180565
0.445865 0.641097 0.182642
0.446366 0.584886 0.186171
0.446867 -0.467394 0.190551
0.447368 0.65579 0.174321
0.44787 0.384273 0.198296
0.448371 0.710812 0.171351
0.448872 0.669208 0.177611
0.449373 -0.636411 0.174747
0.449875 -0.376205 0.188812
0.450376 0.557657 0.177044
0.450877 -0.662488 0.170579
0.451378 0.676649 0.169646
0.45188 -0.596502 0.175641
0.452381 -0.70653 0.160104
0.452882 0.617822 0.166481
0.453383 0.505974 0.180409
0.453885 0.602673 0.165504
0.454386 0.117987 0.199245
0.454887 0.700971 0.160978
0.455388 -0.722158 0.15913
0.45589 -0.654269 0.160368
0.456391 0.547386 0.167865
0.456892 -0.155978 0.183947
0.457393 0.402842 0.17471
0.457895 0.685871 0.154678
0.458396 0.364863 0.17918
0.458897 -0.383133 0.169934
0.459398 0.688961 0.150854
0.4599 0.572726 0.159839
0.460401 0.127042 0.182975
0.460902 0.791166 0.141005
0.461404 0.350564 0.170991
0.461905 -0.76121 0.142858
0.462406 -0.762041 0.141063
0.462907 -0.758627 0.137401
0.463409 0.733388 0.141026
0.46391 -0.751467 0.139287
0.464411 0.757749 0.137601
0.464912 0.82224 0.128697
0.465414 0.798724 0.134059
0.465915 0.501551 0.155362
0.466416 -0.806844 0.130796
0.466917 -0.697197 0.14017
0.467419 0.692442 0.1399
0.46792 -0.781249 0.13073
0.468421 0.433924 0.153958
0.468922 0.734897 0.13318
0.469424 0.819351 0.125834
0.469925 -0.789251 0.126131
0.470426 0.820696 0.124125
0.470927 0.820041 0.121619
0.471429 0.774989 0.124047
0.47193 -0.724039 0.12895
0.472431 0.818608 0.122115
0.472932 0.82239 0.120704
0.473434 0.821081 0.119992
0.473935 -0.317506 0.155636
0.474436 0.404917 0.143355
0.474937 -0.776631 0.121615
0.475439 0.787211 0.118969
0.47594 -0.841458 0.114924
0.476441 0.788646 0.117355
0.476942 -0.62758 0.130055
0.477444 0.616342 0.128305
0.477945 -0.777654 0.117039
0.478446 0.762357 0.117782
0.478947 -0.805664 0.111972
0.479449 -0.666759 0.12125
0.47995 0.821244 0.109218
0.480451 0.436768 0.132358
0.480952 0.813942 0.110602
0.481454 0.812851 0.111573
0.481955 0.844672 0.107459
0.482456 -0.813013 0.109178
0.482957 0.801701 0.108705
0.483459 0.797998 0.108614
0.48396 0.810299 0.107106
0.484461 -0.804305 0.107277
0.484962 -0.374636 0.131129
0.485464 0.814135 0.104527
0.485965 -0.797775 0.105597
0.486466 0.843559 0.101545
0.486967 0.811104 0.105026
0.487469 -0.475004 0.122395
0.48797 -0.796552 0.104968
0.488471 -0.754314 0.107293
0.488972 -0.858206 0.0975678
0.489474 -0.419745 0.121267
0.489975 0.62937 0.109999
0.490476 0.616808 0.113862
